"Freq [GHz]","Theta [deg]","Phi [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []","dB(RealizedGainTotal) []"
2,90,74,-1.78749177350018,-24.3546904895455,-1.76351090847405
2,90,75,-1.82588166323095,-24.5587918765487,-1.80279620466483
2,90,76,-1.86426699475456,-24.6950179096214,-1.84169447172285
2,90,77,-1.90275999282603,-24.7635849342758,-1.8803428387227
2,90,78,-1.94148264558244,-24.7677084795202,-1.91888665222553
2,90,79,-1.98056389794399,-24.7131557460493,-1.95747675149668
2,90,80,-2.02013694846998,-24.6075126969839,-1.9962669336273
2,90,81,-2.06033669575294,-24.4593488163868,-2.03541163359146
2,90,82,-2.1012973669587,-24.2774486276038,-2.07506383003213
2,90,83,-2.14315034852615,-24.0702169782749,-2.11537317515943
2,90,84,-2.18602222788797,-23.8452931942174,-2.1564843369213
2,90,85,-2.23003304574417,-23.6093553836342,-2.19853553374251
2,90,86,-2.27529475113795,-23.3680692725442,-2.24165723664583
2,90,87,-2.32190984642659,-23.1261310743151,-2.28597101037519
2,90,88,-2.36997020617874,-22.8873614837123,-2.3315884640663
2,90,89,-2.41955605294186,-22.654819758982,-2.37861028283852
2,90,90,-2.47073507353048,-22.430918159361,-2.42712531418008
2,90,91,-2.52356166176325,-22.2175257541158,-2.47720968693352
2,90,92,-2.57807627717427,-22.0160565487804,-2.52892594583855
2,90,93,-2.63430491387262,-21.8275404770194,-2.58232219075368
2,90,94,-2.69225867913596,-21.6526777578025,-2.63743121666733
2,90,95,-2.75193348719498,-21.491878017299,-2.69426965824611
2,90,96,-2.81330987966659,-21.3452858726411,-2.7528371507706
2,90,97,-2.876352989864,-21.2127946780028,-2.81311552767774
2,90,98,-2.941012673357,-21.0940500433303,-2.87506808332853
2,90,99,-3.00722383123686,-20.9884446836553,-2.93863893776162
2,90,100,-3.07490695508484,-20.8951062317525,-3.00375254771927
2,90,101,-3.1439689231486,-20.8128799145459,-3.07031341470021
2,90,102,-3.21430407518879,-20.7403085022028,-3.13820604567413
2,90,103,-3.28579558838689,-20.675612713685,-3.2072952247692
2,90,104,-3.35831716819965,-20.6166762882099,-3.27742665403682
2,90,105,-3.43173505583064,-20.5610411209686,-3.34842801759702
2,90,106,-3.50591033799878,-20.505919012648,-3.42011051539438
2,90,107,-3.58070152512548,-20.4482273432217,-3.49227089988017
2,90,108,-3.6559673414907,-20.3846558374037,-3.5646940308279
2,90,109,-3.73156964627297,-20.3117699277383,-3.63715594016079
2,90,110,-3.80737637905404,-20.2261525002312,-3.70942737054347
2,90,111,-3.8832643990878,-20.1245798578728,-3.78127771953811
2,90,112,-3.95912206646836,-20.004220119467,-3.85247928693011
2,90,113,-4.03485139752085,-19.8628345039527,-3.92281168858928
2,90,114,-4.11036961850045,-19.6989563604253,-3.99206626867429
2,90,115,-4.18560994300804,-19.5120218279785,-4.06005031618736
2,90,116,-4.2605214109338,-19.3024310966797,-4.12659087498646
2,90,117,-4.335067651083,-19.0715298879621,-4.19153793122486
2,90,118,-4.40922446597757,-18.8215143514692,-4.2547667710058
2,90,119,-4.48297618487851,-18.5552752476824,-4.31617932497343
2,90,120,-4.5563107882685,-18.2762055938499,-4.37570435547278
2,90,121,-4.6292138716781,-17.987998192156,-4.43329639424569
2,90,122,-4.70166158624107,-17.6944561088438,-4.48893340148746
2,90,123,-4.77361276497666,-17.3993322775741,-4.5426131864957
2,90,124,-4.84500051481751,-17.1062064668718,-4.59434870147812
2,90,125,-4.91572362228023,-16.8184008897989,-4.64416238860496
2,90,126,-4.98563818296207,-16.5389308144496,-4.6920798217467
2,90,127,-5.05454991920276,-16.2704838421827,-4.73812293501062
2,90,128,-5.12220769329954,-16.0154206754843,-4.78230316775262
2,90,129,-5.18829875179007,-15.7757905968797,-4.82461487891155
2,90,130,-5.25244624450147,-15.5533559456961,-4.86502939200979
2,90,131,-5.3142095439024,-15.3496211727164,-4.9034900263828
2,90,132,-5.37308783821931,-15.1658632991855,-4.9399084508274
2,90,133,-5.42852737779977,-15.0031616674347,-4.97416266346175
2,90,134,-5.47993261135535,-14.8624256998809,-5.00609685633025
2,90,135,-5.52668125313891,-14.7444199894194,-5.03552336480197
2,90,136,-5.56814307563858,-14.6497864604251,-5.06222682934149
2,90,137,-5.60370193508261,-14.5790636059339,-5.0859706100162
2,90,138,-5.63278022909336,-14.53270296078,-5.10650539201432
2,90,139,-5.65486468759363,-14.511083043407,-5.12357980477625
2,90,140,-5.66953214790343,-14.5145210137975,-5.13695275161568
2,90,141,-5.67647380406072,-14.5432822670909,-5.1464070173043
2,90,142,-5.67551638526825,-14.5975881211485,-5.15176359745191
2,90,143,-5.66663883230094,-14.677621665318,-5.1528960877003
2,90,144,-5.64998330641821,-14.7835317160771,-5.14974439627924
2,90,145,-5.6258597611683,-14.9154346681103,-5.14232701340855
2,90,146,-5.59474378897978,-15.0734138278961,-5.13075109559902
2,90,147,-5.55726796144844,-15.2575155584347,-5.11521970710136
2,90,148,-5.51420735011844,-15.4677412319715,-5.09603570249633
2,90,149,-5.46646028663244,-15.7040335627929,-5.0736019238227
2,90,150,-5.41502565891389,-15.9662553527635,-5.04841760574855
2,90,151,-5.36097812885218,-16.2541580086584,-5.02107111129985
2,90,152,-5.30544260576672,-16.5673363736914,-4.99222933520086
2,90,153,-5.24956914634065,-16.9051654763625,-4.96262429071786
2,90,154,-5.19450921406168,-17.2667138229371,-4.93303752316649
2,90,155,-5.14139396010768,-17.6506270600007,-4.90428306058367
2,90,156,-5.0913149190893,-18.0549756635786,-4.87718961924662
2,90,157,-5.04530727424693,-18.4770616296718,-4.85258273579095
2,90,158,-5.00433565431782,-18.9131834256636,-4.83126741099432
2,90,159,-4.96928228536907,-19.3583679835058,-4.81401173800539
2,90,160,-4.94093723483244,-19.8060961964524,-4.80153186536389
2,90,161,-4.91999044614243,-20.2480767362445,-4.79447852631687
2,90,162,-4.90702526254207,-20.674161206953,-4.79342526140568
2,90,163,-4.90251316888899,-21.0725320152932,-4.79885837820764
2,90,164,-4.90680953237467,-21.4303079714269,-4.8111686340588
2,90,165,-4.92015018990422,-21.7346618137681,-4.83064459507254
2,90,166,-4.9426488057772,-21.9743946867492,-4.85746761588756
2,90,167,-4.97429500368682,-22.1416830822451,-4.89170839564197
2,90,168,-5.01495335800468,-22.2335126888143,-4.93332509178415
2,90,169,-5.06436340703094,-22.2523022791659,-4.98216300879894
2,90,170,-5.12214092109929,-22.2054761913071,-5.0379559175251
2,90,171,-5.18778071595589,-22.1041460528413,-5.10032909589977
2,90,172,-5.26066134034643,-21.9613660537742,-5.16880420697332
2,90,173,-5.34005197883285,-21.7904710991248,-5.24280613831618
2,90,174,-5.42512188854864,-21.6038333952954,-5.32167191252159
2,90,175,-5.51495262441594,-21.4121372690097,-5.40466173673489
2,90,176,-5.60855319593443,-21.2241013614378,-5.49097218758567
2,90,177,-5.70487813883076,-21.0465073794386,-5.57975142741413
2,90,178,-5.80284828181689,-20.8843980434543,-5.67011622335929
2,90,179,-5.90137375578999,-20.7413425975273,-5.76117040262897
2,90,180,-5.99937855219104,-20.6197076864167,-5.85202423969995
